,index,1,2,3,4,5,6,7
0,Vehicle Type,Passenger Cars,Light Trucks,Large Trucks,Motorcycles,Buses,Other/Unknown,Total
1,2015,19810.0,18869.0,4075.0,5131.0,263.0,1330.0,49478.0
2,2014,17895.0,17160.0,3749.0,4705.0,236.0,1205.0,44950.0
3,2013,17957.0,16928.0,3921.0,4800.0,282.0,1213.0,45101.0
4,2012,18269.0,17350.0,3825.0,5113.0,253.0,1150.0,45960.0
5,2011,17508.0,16806.0,3633.0,4769.0,245.0,1158.0,44119.0
6,2010,17804.0,17491.0,3494.0,4651.0,251.0,1171.0,44862.0
7,2009,18413.0,17958.0,3211.0,4603.0,221.0,1134.0,45540.0
8,2008,20474.0,19179.0,4089.0,5409.0,251.0,1258.0,50660.0
9,2007,22856.0,21810.0,4633.0,5306.0,281.0,1367.0,56253.0
10,2006,24260.0,22411.0,4766.0,4963.0,305.0,1389.0,58094.0
11,2005,25169.0,22964.0,4951.0,4682.0,280.0,1449.0,59495.0
12,2004,25682.0,22486.0,4902.0,4121.0,279.0,1259.0,58729.0
13,2003,26562.0,22299.0,4721.0,3802.0,291.0,1202.0,58877.0
14,2002,27374.0,21668.0,4587.0,3365.0,274.0,1160.0,58428.0
15,2001,27586.0,20831.0,4823.0,3265.0,292.0,1121.0,57918.0
16,2000,27802.0,20498.0,4995.0,2975.0,325.0,998.0,57593.0
17,1999,28027.0,19959.0,4920.0,2532.0,319.0,1063.0,56820.0
18,1998,29040.0,19363.0,4955.0,2334.0,289.0,941.0,56922.0
19,1997,30059.0,18628.0,4917.0,2160.0,297.0,999.0,57060.0
20,1996,30727.0,18246.0,4755.0,2176.0,326.0,1117.0,57347.0
21,1995,30940.0,17587.0,4472.0,2268.0,271.0,986.0,56524.0
22,1994,30273.0,16353.0,4644.0,2339.0,258.0,1044.0,54911.0
